"event","experiment time","system time","system time text"
"START",0.000000000E0,1677087143.160,"2023-02-22 18:32:23.160 UTC+01:00"
"PAUSE",2.702164268E3,1677089845.324,"2023-02-22 19:17:25.324 UTC+01:00"
